"","cell_ID","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"45","X44",0,0.436791154894637,0.0699603449167785,0.493248500188584,0,0
"46","X45",0,0,0.126490329636115,0.873509670363885,0,0
"47","X46",0,0.0587095135154747,0.154172919727175,0.78711756675735,0,0
"48","X47",0,0.0650392365085297,0.178282568955918,0.756678194535553,0,0
"49","X48",0,0.18959599922044,0.152730229099184,0.657673771680375,0,0
"50","X49",0,0.30174842798905,0.101985461575161,0.217264009761121,0.379002100674668,0
"51","X50",0,0,0.668644332512742,0.331355667487258,0,0
"52","X51",0.105889305176607,0.647886478978481,0.130040627660759,0.116183588184153,0,0
"53","X52",0,0.678811398102901,0.321188601897099,0,0,0
"54","X53",0.188823301946649,0.11229945586824,0,0.698877242185111,0,0
"55","X54",0,0,0,0.478460626349368,0.521539373650632,0
"56","X55",0,0,0,1,0,0
"57","X56",0,0.215599653869901,0,0.784400346130099,0,0
"58","X57",0.0956426420464795,0.322578124818202,0.134862632361764,0.446916600773555,0,0
"59","X58",0,0,0.10122894847204,0.201896765560018,0.696874285967942,0
"60","X59",0.456858079282201,0.12232872843145,0.420813192286349,0,0,0
"61","X60",0,0.214861104608466,0.0551629671688541,0.72997592822268,0,0
"62","X61",0,0,0.0982794177360164,0.901720582263984,0,0
"63","X62",0,0.103926512869907,0.308541605853397,0.587531881276695,0,0
"64","X63",0.258509978656051,0.000708883790235159,0.313171306736349,0,0,0.427609830817364
"65","X64",0,0.387190066354446,0,0.612809933645554,0,0
"66","X65",0.0948990286761634,0.314166537833428,0,0.590934433490408,0,0
"67","X66",0,0.899010209214275,0.100989790785725,0,0,0
"68","X67",0.439175558769535,0,0.560824441230465,0,0,0
"69","X68",0,0,0,1,0,0
"70","X69",0.624839025567007,0,0,0.375160974432993,0,0
"71","X70",0,0,0.404939734924883,0.595060265075117,0,0
"72","X71",0.0751318306461793,0,0.208230224087242,0.716637945266578,0,0
"73","X72",0,0.853697166630491,0,0.146302833369509,0,0
"74","X73",0,0.769622489007174,0.230377510992826,0,0,0
"75","X74",0,0.342841381382846,0,0.657158618617155,0,0
"76","X75",0.21867827137429,0,0,0.78132172862571,0,0
"77","X76",0,0,0,0.799579134719138,0,0.200420865280862
"78","X77",0,0.765921968665733,0,0.234078031334267,0,0
"79","X78",0,0,1,0,0,0
"80","X79",0.312675105157428,0,0.327667000383121,0.359657894459452,0,0
"81","X80",0,0.0442386804233425,0,0.31727466172425,0.638486657852408,0
"82","X81",0.0613009879530893,0.439780000550075,0,0.498919011496836,0,0
"83","X82",0.426530146909017,0.0743456482090265,0.31829237190054,0.139120614304031,0.0417112186773855,0
"84","X83",0.13745597130974,0.256053338511694,0,0.164571125790345,0.44191956438822,0
"85","X84",0,0.260241661733154,0.179619501192131,0.560138837074715,0,0
"86","X85",0,0,0,1,0,0
"87","X86",0,0.094807150384078,0.22499060934616,0.680202240269762,0,0
"88","X87",0,0,0,1,0,0
"89","X88",0,0.0621892669011764,0.167985275890194,0.769825457208629,0,0
"90","X89",0.247342986894144,0,0,0.752657013105856,0,0
"91","X90",0.438786343694105,0.561213656305895,0,0,0,0
"92","X91",0,0,0.376307659967266,0.623692340032734,0,0
"93","X92",0.167932633420873,0,0.381291012119055,0.450776354460072,0,0
"94","X93",0.0937101602181224,0.0780906236152126,0.250352999947683,0.577846216218982,0,0
"95","X94",0,0.154818948194307,0.172520515548559,0.672660536257133,0,0
"96","X95",0.0777549762478593,0.64503078887955,0,0.277214234872591,0,0
"97","X96",0,0,0.377662507926722,0.622337492073278,0,0
"98","X97",0,0.158281622912665,0.0996681176913051,0.74205025939603,0,0
"99","X98",0,0.608271061709333,0.391728938290667,0,0,0
