"","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"X119",0.10325359007307,0.374184982188863,0.209267762015599,0.256579069800158,0.0181668543337609,0.0385477415885496
"X120",0.325521043276905,0.0132033183403843,0.493911659206053,0.0959989776847568,0.0519684399823695,0.019396561509532
"X121",0.15906745171731,0.619875022949689,0.00545413484982989,0.127570702770805,0.0132861995262057,0.0747464881861607
"X122",0.0236381609803647,0.71325722399864,0.0168489479924714,0.203842744671767,0.0127183901632904,0.0296945321934664
"X123",0.0509998607317905,0.294695845219655,0.293774554316412,0.323716306606611,0.0181710314943503,0.0186424016311808
"X124",0.354981327605003,0.00261221232552077,0.408698031114046,1.4793264501685e-05,0.218271273061486,0.0154223626294421
"X125",0.0164162087481765,0.039141774723676,0.063113927031638,0.871637616146416,0.00466279724461777,0.00502767610547564
"X126",0.0147439645555997,0.0497057938928212,0.2316956913417,0.690836358474684,0.00138214453727287,0.0116360471979221
"X127",0.00465300312757748,0.0297975303022378,0.27089226806813,0.687495967486421,0.00221600088930075,0.00494523012633289
"X128",0.415591469084649,0.0316192073961359,0.0269632179990393,0.476330303845585,0.00722795914073284,0.0422678425338588
"X129",0.234942990331772,0.0706838717196796,0.0237000964254112,0.655129520899056,0.00208471155582131,0.0134588090682594
"X130",0.597731170821132,0.281845918920338,0.00587232443075578,0.000987802564832329,0.0380108245440747,0.0755519587188675
"X131",0.0261531517120324,0.0547643343577902,0.388357819268049,0.515330175941453,0.00214728461565732,0.0132472341050187
"X132",0.479308775698956,0.0374012558296593,0.019545587304424,0.428223027083893,0.00204396203959629,0.0334773920434717
"X133",0.0358523162108625,0.307178668611695,0.0661881424975148,0.565849081182727,0.00265634133171223,0.0222754501654882
"X134",0.235191364151255,0.156372797896072,0.0663436672269283,0.503203669040915,0.0104054319775494,0.0284830697072794
"X135",0.064256788918694,0.559389348212767,0.00253491236045365,0.34702259190389,0.0038286790310478,0.022967679573148
"X136",0.0649262867212784,0.696844026864715,0.14113162357478,0.0440530875301014,0.0206211944066461,0.0324237809024792
"X137",0.00465609465116986,0.0346800669689226,0.513367461533006,0.441295829539357,0.000422849256915616,0.00557769805062866
"X138",0.49974554882833,0.00140124526304984,0.391604060222855,0.0540955178418731,0.0163047041035995,0.0368489237402921
"X139",0.196143067336301,0.0986113656761203,0.28378050680306,0.398571929290772,0.00203078148804083,0.0208623494057063
"X140",0.149043229213675,0.21324985848681,0.0411091633987758,0.560121768225504,0.0184345547563078,0.0180414259189278
"X141",0.182060585872064,0.126518539676029,0.0143531474775389,0.648571372621622,0.00564530220538959,0.0228510521473577
"X142",0.0225580731546466,0.169866548975954,0.0980955712048184,0.694867448685833,0.00176000320136872,0.0128523547773794
"X143",0.0295938289770861,0.377369345035247,0.19727196631415,0.372213264229532,0.0162631146235119,0.00728848082047323
"X144",0.0109532394187218,0.042555325473916,0.359719498339339,0.576462924282455,0.00515687461448749,0.00515213787108062
"X145",0.0238838043623066,0.0829501015015545,0.301249257278219,0.568395034983689,0.00687939250307031,0.0166424093711602
"X146",0.0360810366668503,0.0148993084907527,0.763413617586522,0.178367665643756,0.00253395221780701,0.00470441939431199
"X147",0.0548652360313824,0.656798771569065,0.228818006383384,0.0175495677633205,0.0173780337047027,0.0245903845481457
"X148",0.226463641268673,0.0348397727802883,0.274218152092333,0.437524498596981,0.0089792167782709,0.0179747184834545
"X149",0.198456678251619,0.45617388085608,0.111582074549441,0.170370657870689,0.0247963523761824,0.0386203560959891
"X150",0.443096606525379,0.0285022311334057,0.018142493394783,0.467170380258906,0.0239539294976106,0.0191343591899158
"X151",0.200014127716956,0.0137074095580625,0.312635076388146,0.427352858501538,0.00932336144297658,0.0369671663923203
"X152",0.41600426986162,0.00978712050723319,0.300124569595336,0.163062723219115,0.0459088662039468,0.0651124506127489
"X153",0.390767553170478,0.088275427809818,0.464053779305681,2.77771166891149e-06,0.00454305969108394,0.0523574023112703
"X154",0.11215406901361,0.0845540444740541,0.192229869859504,0.59310217149879,0.00751444916023054,0.0104453959938113
"X155",0.0481257437459027,0.525419640348203,0.242925468713181,0.11625026490474,0.043349782060656,0.0239291002273175
"X156",0.0335570270275777,0.131114865953432,0.156417386460114,0.660025269766703,0.00538673102618713,0.0134987197659871
"X157",0.0252989344728503,0.0700636547739927,0.320118795934893,0.568825550217579,0.00442077524419476,0.0112722893564906
"X158",0.074676078541947,0.0563417540914833,0.0389311264531986,0.808479999307003,0.00421996807532136,0.0173510735310469
"X159",0.162920321385432,0.062070781957487,0.446049650966737,0.274926643625073,0.0193466076421962,0.0346859944230755
"X160",0.0117227530430304,0.0550423955835653,0.441598558386605,0.479144195079659,0.00539237648494169,0.00709972142219798
