"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X23",0.207004180628856,0.0888179503756723,0.358924557326574,0.0317905335256076,0.237869518011955,0.075593260131335
"X24",0.213223666620209,0.412832967516348,0.0751416743686823,0.0297042367515111,0.187884819608079,0.0812126351351706
"X25",0.26824737908658,0.33368528023724,0.0757519636501875,0.0790683843131666,0.159005820450169,0.0842411722626572
"X26",0.174846341591275,0.239664061537143,0.07305741432035,0.338096226817797,0.0562578333537585,0.118078122379676
"X27",0.151957351168383,0.0783546576649364,0.282544243632378,0.0367107355222202,0.391096697553741,0.0593363144583414
"X28",0.275636655697836,0.054188878545277,0.0692306044574749,0.148030876470056,0.352563816322767,0.100349168506589
"X29",0.167173541881938,0.365522818357354,0.358867405188529,0.0371895343517031,0.0181972230690028,0.0530494771514724
"X30",0.354972573998695,0.0819753682589959,0.138322551383882,0.048859900943815,0.375869605414613,0
"X31",0.294187815427457,0.0716450512582141,0.0476778905232625,0.0390661722360003,0.489060686860323,0.0583623836947437
"X32",0.221596014409845,0.408414701852306,0.0850435329515478,0.0440011603588514,0.159282408759373,0.0816621816680772
"X33",0.150713835527971,0.0663100637091381,0.429351183993002,0.0434460936237294,0.268657352653867,0.0415214704922925
"X34",0.154553449660948,0.102380707166029,0.409258157422222,0.036214026693962,0.248935241006582,0.0486584180502574
"X35",0.286019816587485,0.0524609751497138,0.0370875996281243,0.239320635156061,0.285221615073446,0.0998893584051694
"X36",0.156647787195949,0.064951839157577,0.256362548138796,0.156518294009916,0.279401429923321,0.0861181015744407
"X37",0.28266574195173,0.0767607171713408,0.0389694752461144,0.037433270171546,0.512258537612002,0.0519122578472674
"X38",0.178466725038082,0.105386509363062,0.260462455864344,0.236308521796493,0.160718685520612,0.0586571024174077
"X39",0.219615194836418,0.07052809534396,0.0239745895953826,0.332062074864408,0.248360535119769,0.105459510240061
"X40",0.168554242573765,0.0804891120371928,0.429106539934554,0.207771538713718,0.018675534943989,0.0954030317967803
"X41",0.331581900460874,0.0473695222956264,0.0353904269990338,0.0703457250221456,0.46010937844962,0.0552030467727001
"X42",0.135834892920018,0.516518026572175,0.131957548170145,0.0320470464392353,0.0808222966452135,0.102820189253214
"X43",0.170284533934256,0.172822977228848,0.327964320538748,0.137499039902122,0.126004064791575,0.0654250636044503
"X44",0.116973544541594,0.307977305555008,0.312625353290801,0.0687637693835622,0.114660201456859,0.0789998257721758
"X45",0.165506152839583,0.0904782169297568,0.450868958530063,0.0300470844431179,0.209924706411782,0.0531748808456976
"X46",0.136103982195413,0.0878819394853751,0.456719087890078,0.0423238393034131,0.232667360229275,0.0443037908964464
"X47",0.184576958779948,0.0708153701996727,0.402071554101387,0.0282010204243717,0.268620733826269,0.0457143626683514
"X48",0.143007214967961,0.179743254122754,0.364324737843004,0.0815733317410158,0.166292045598355,0.0650594157269102
"X49",0.329040257906917,0.23080412110809,0.203025551055873,0.0437572127993612,0.130412862736637,0.062959994393122
"X50",0.306261575650309,0.0492699394876563,0.211608156482439,0.0300493393376616,0.339566576009172,0.0632444130327613
"X51",0.196481180595888,0.284986430846338,0.16286866614475,0.111363599510539,0.141255939813923,0.103044183088561
"X52",0.27008948739881,0.299397905867717,0.0904130757775889,0.0741239484407821,0.202547318686256,0.0634282638288461
"X53",0.200309588344559,0.146536384862884,0.346100553562628,0.223422767201424,0.0111864489954867,0.0724442570330181
"X54",0.423327129843907,0.0952009376283488,0.376473713325321,0.0280869171964882,0.0446097967062753,0.0323015052996588
"X55",0.148619209768543,0.140372416410405,0.52854742722334,0.0185961515922801,0.106671723842681,0.0571930711627512
"X56",0.16343084423502,0.226330191062343,0.42187427742604,0.0298715204780707,0.0606931722705108,0.0977999945280159
"X57",0.148019593842426,0.26532454072803,0.230397684568439,0.130723074379026,0.152897301606062,0.0726378048760175
"X58",0.483353902768561,0.0583175980209913,0.126433856438196,0.0512280426561551,0.221453305756804,0.0592132943592921
"X59",0.197554697182913,0.0740168962977372,0.0425906324796383,0.364275078896744,0.204768421909777,0.116794273233189
"X60",0.189456614286975,0.202084156247105,0.363574606769316,0.0578417030101232,0.125985779252725,0.0610571404337566
"X61",0.177426400526055,0.0814184602782843,0.499880546530211,0.0276227511120458,0.16453238270337,0.0491194588500342
"X62",0.168230049655341,0.157230520167641,0.32685232624197,0.0310653204917635,0.257533347146218,0.0590884362970652
"X63",0.141019468702032,0.0290235632060348,0.0868131491522683,0.139560419985602,0.174797227154355,0.428786171799708
"X64",0.205678458186834,0.307788330464633,0.28303169759185,0.0391487160586542,0.0869861015677168,0.0773666961303124
"X65",0.143087824365507,0.229858694035551,0.308614005113341,0.114232714446847,0.104509981166288,0.0996967808724643
"X66",0.173116833207285,0.502832659810906,0.0916757259926817,0.0390230211360831,0.110909699854288,0.0824420599987557
"X67",0.276461359082767,0.0792404601249052,0.0318349269709683,0.271625558572281,0.273437259955631,0.0674004352934483
"X68",0.146771900965377,0.211296293169878,0.524246560980608,0.0315436457322288,0.0294234440339647,0.0567181551179435
"X69",0.234287187907122,0.0513578530304837,0.186266390349164,0.349246344094338,0.110607038127453,0.0682351864914389
"X70",0.25014167275654,0.109251456370266,0.297421842107741,0,0.285413520721713,0.0577715080437399
"X71",0.178044499543266,0.0786397129891878,0.371013106435142,0.0978674607596306,0.20712675630747,0.0673084639653026
"X72",0.12108932244661,0.453025065933251,0.198073801224327,0.050886429072934,0.0985294302831896,0.0783959510396885
"X73",0.220677412306212,0.384388802409981,0.0922624928380196,0.0399556468974322,0.163507691458309,0.0992079540900453
"X74",0.152812328599791,0.291956367069364,0.363872509633718,0.0661827227714403,0.0531280722443889,0.0720479996812979
"X75",0.10561591820799,0.115270832984656,0.433471729166489,0.219322138425052,0.0483507655907873,0.0779686156250263
"X76",0.0910189321841436,0.0713790891183123,0.467684231114975,0.0133504105297087,0.0582585989492684,0.298308738103592
"X77",0.116279404123115,0.381939845715039,0.235532809515908,0.0862613937116513,0.098301050168451,0.0816854967658356
"X78",0.415293892943927,0.0606521763403852,0.0395522789930986,0.0486431891089517,0.372663720546181,0.0631947420674562
"X79",0.175624152843999,0.0761463362656236,0.208268204367977,0.219529200723602,0.238633828413185,0.0817982773856129
"X80",0.462321776065223,0.0919657247343867,0.258409673785491,0.0337468503632744,0.106684342266773,0.0468716327848521
"X81",0.132511611699057,0.282976261668019,0.30245585877777,0.119687028882663,0.0418005566649385,0.120568682307553
"X82",0.222756148400477,0.0858118210805111,0.141979690285494,0.248129621035741,0.184332419091944,0.116990300105833
"X83",0.370527978346688,0.210095620310632,0.148033132900847,0.182143791701857,0.0229534292392919,0.0662460475006837
"X84",0.232150139531907,0.21834979096405,0.269460632593955,0.0434817667319803,0.166037517420681,0.0705201527574271
"X85",0.146415271855992,0.128792471033834,0.495395854337853,0.0227970036633312,0.138909142975999,0.0676902561329903
"X86",0.185176901406548,0.136933086818991,0.354478575866772,0.0385576539934049,0.223716921175262,0.0611368607390214
"X87",0.127701091000001,0.116860662449988,0.519873062239639,0.123233833296926,0.0350357636862494,0.0772955873271976
"X88",0.214076598415801,0.112897266443283,0.363342178150944,0.0480856475884924,0.180144960659197,0.0814533487422822
"X89",0.185666288727147,0.0882828983203703,0.32621005240109,0.2089580660946,0.107653667457539,0.0832290269992535
"X90",0.226599409983222,0.254120375115744,0.144034751730687,0.226142347359869,0.0267435137071468,0.122359602103331
"X91",0.148452688402396,0.132492964680293,0.319666888929854,0.0843393096935439,0.263309750225109,0.0517383980688052
