"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X51",0.000327222426749329,0.46867051960767,0.145125064365967,0.160023012827436,0.181595701763686,0.0442584790084905
"X52",0.000214717693216789,0.534647517351894,0.000214717693096768,0.135538893430442,0.329169436138254,0.000214717693096771
"X53",0.000144343801934755,0.0801372624081298,0.632640300131755,0.269865675449393,0.00613057937394417,0.0110818388348436
"X54",0.375234254410917,0.0268030764901884,0.589915323972848,0.0073736068616397,0.000443151688551408,0.000230586575855777
"X55",9.30171018756723e-05,0.0574751743451112,0.872181525186597,9.30171365955417e-05,0.0700642490932254,9.30171365955428e-05
"X56",9.37497034681833e-05,0.251518433682904,0.679580514647384,0.000117175097174573,0.0454594394571482,0.0232306874119206
"X57",0.000290212045767664,0.353471805165592,0.296609153638084,0.153581993112113,0.182571935556337,0.0134749004821057
"X58",0.636643605921605,0.0115591519189063,0.101863488722226,0.00820122955684055,0.212232898888253,0.0294996249921697
"X59",0.000504493213779144,0.03349125050606,0.000504493242099186,0.545040289418829,0.379895082470263,0.0405643911489691
"X60",0.000147175070505372,0.211910792584403,0.654170785434074,0.022703809478045,0.105691807413579,0.00537563001939324
"X61",0.00227871428317764,0.00254372907290679,0.823316438097495,8.86386296764379e-05,0.171683841287067,8.86386296770905e-05
"X62",0.000194387531895487,0.119699589701962,0.521748574313165,0.00299948471955214,0.346304670116954,0.00905329361647121
"X63",0.000300008175023879,0.0117254623660104,0.0379562022388692,0.178112150682771,0.307733511490203,0.464172665047123
"X64",0.000231068798905801,0.361136878016911,0.491740701952526,0.0184414352715143,0.128218847119778,0.000231068840364791
"X65",0.000229588894007779,0.228188718892104,0.472431938566044,0.147617018984318,0.128796412335225,0.0227363223283015
"X66",0.00206287388894896,0.798080948823879,0.000233804106378552,0.000233804106378552,0.177819929840893,0.0215686392335211
"X67",0.000244601375469999,0.000244601375186561,0.000244601375166719,0.514562257872526,0.484459336626464,0.00024460137518656
"X68",6.43108919723408e-05,0.110503522063758,0.8852858902064,0.000228598843497779,6.43108921387718e-05,0.00385336710223372
"X69",0.000435763545525571,0.0123881113650176,0.235623468276035,0.619530751839733,0.131586141438712,0.00043576353497736
"X70",0.00161529776666094,0.0601618316986723,0.514904914386691,0.00021602671806409,0.422885902711847,0.000216026718064089
"X71",0.000135354925120545,0.00308271595406266,0.646511739197431,0.0905944219354294,0.259540413063262,0.000135354924694352
"X72",0.000336870088141163,0.702204276272259,0.153403007609525,0.00147319984245003,0.121929646782772,0.0206529994048531
"X73",0.000163019864855757,0.694829862829579,0.000163019864565672,0.000163019864592577,0.275613502296955,0.0290675752794517
"X74",0.000202403127193737,0.345626267882693,0.558387804302683,0.0688946335436635,0.0219734772449148,0.00491541389885138
"X75",9.5842245173116e-05,0.0210136593883831,0.6909675874375,0.287731226412281,9.5842258331338e-05,9.58422583313367e-05
"X76",8.88873776523777e-05,0.0170903236122602,0.732902137700711,8.88873835178355e-05,0.0286084183984978,0.221221345527361
"X77",0.000215022977468623,0.552897074271931,0.282647243662627,0.0570533004770439,0.0866946613630032,0.0204926972479264
"X78",0.00138389831129683,0.000107716190147483,0.000107716190138279,0.027214432827729,0.971078520290541,0.000107716190147989
"X79",0.000299981152943358,0.000299981174803272,0.288581486144286,0.35212987156296,0.358388698790204,0.000299981174803274
"X80",0.47805144904457,0.0459673652852426,0.373606077513637,0.00334836576187563,0.0979985624471598,0.00102817994751533
"X81",0.000155390962692413,0.356608165612623,0.468243169642201,0.143012834042807,0.00014890905740135,0.0318315306822755
"X82",0.00231487251680044,0.000711104939006843,0.131077866083042,0.527630833066078,0.288889800388371,0.0493755230067014
"X83",0.341559486632477,0.217257109574347,0.156559175558556,0.283201669682843,0.000711279275888295,0.000711279275888295
"X84",0.000294427900833457,0.269860155953361,0.42660040695001,0.0649545824078637,0.237995998891188,0.000294427896743588
"X85",9.00534504757617e-05,0.0362867804900791,0.855165939469707,9.00534629668508e-05,0.108277119663804,9.00534629668509e-05
"X86",0.000200657498709167,0.0800147613561592,0.608340058568786,0.0208081176586286,0.290488527054037,0.000147877863680489
"X87",6.59335078629362e-05,0.0456132335975437,0.868346795029237,0.0858421708257062,6.59335198234251e-05,6.59335198268978e-05
"X88",0.00324480270791611,0.0778518089784352,0.663129668558859,0.0150613512957193,0.237799374481718,0.00291299397735221
"X89",0.000203096581317797,0.031745980428326,0.600472004064738,0.284772463596855,0.0810540591030675,0.00175239622569624
"X90",0.000324381568827991,0.505384059858746,0.0348023547250925,0.441620762825512,0.000324381529859187,0.0175440594919624
"X91",0.000204041897176575,0.0673321706840799,0.462903148361333,0.0832210528521446,0.386135544308237,0.000204041897029318
"X92",0.000298419194961701,0.0284147568766766,0.344735285664564,0.181206427986786,0.445046691082025,0.000298419194987559
"X93",0.00028707190904405,0.0744361169133588,0.469567352531889,0.151292007452107,0.301139579938798,0.00327787125480337
"X94",0.000308885612758416,0.229140717202457,0.490706865789432,0.0784354786602199,0.187416161963926,0.0139918907712062
"X95",0.000219715991613582,0.53192038817903,0.293665166525845,0.145167258301252,0.027040981434617,0.00198648956764289
"X96",0.000127156862550297,0.0580971879851457,0.460024792240058,0.00116715828717262,0.480456547762673,0.000127156862399958
"X97",0.000135108443144285,0.195480484166035,0.607061751682994,0.000135108459040542,0.190045047808479,0.00714249944030819
"X98",0.00672805015091837,0.55163984152246,0.000338300973290217,0.000338300973290215,0.37576950187746,0.0651860045025808
"X99",0.580359828646261,0.307449318162164,0.000602745101874145,0.000602745103897385,0.110382617881935,0.000602745103867592
"X100",9.47276032142081e-05,0.10319235036988,0.847255651547721,9.47275630433421e-05,0.0492678153530978,9.47275630433441e-05
"X101",0.0108721381771832,0.0255069718985768,0.212407827026688,0.114578880523204,0.6109838478568,0.025650334517548
"X102",0.000330100358213994,0.437157539724423,0.357373894401248,0.0226641084702748,0.182144256687978,0.000330100357861936
